,Company,LTP,%Change ,Volume ,Buy Price,Sell Price,Buy Qty,Sell Qty
0,Asian Paints,"1,696.10",0.56,74355,1695.00,1696.00,9.00,19.00
1,Axis Bank,428.50,1.17,1605810,428.50,428.50,54.00,50.00
2,Bajaj Auto,"2,934.30",2.28,42460,2934.30,2941.00,42.00,897.00
3,Bajaj Finance,"2,931.85",-1.24,441954,2931.85,2931.85,92.00,38.00
4,Bharti Airtel,581.10,4.05,1222478,581.10,581.10,175.00,2.00
5,HCL Tech,579.00,1.61,137972,577.90,579.00,2.00,73.00
6,HDFC,"1,885.85",-0.18,129113,1885.85,1885.85,5.00,25.00
7,HDFC Bank,"1,074.20",-1.42,454526,1075.00,1074.20,3.00,32.00
8,Hero Motocorp,"2,740.15",2.53,92235,2740.00,2744.95,2.00,5.00
9,HUL,"2,172.30",0.93,107968,2170.75,2172.00,145.00,1.00
10,ICICI Bank,361.00,-0.47,798737,361.00,360.90,1785.00,75.00
11,IndusInd Bank,487.25,-1.50,820265,487.25,487.25,6.00,65.00
12,Infosys,762.60,0.83,151985,761.00,762.60,1.00,40.00
13,ITC,207.35,0.66,2196807,207.35,207.35,1.00,5000.00
14,Kotak Mahindra,"1,353.50",0.14,85721,1350.20,1353.50,75.00,2.00
15,Larsen,944.50,0.41,133717,942.05,944.50,7.00,266.00
16,M&M,530.30,0.10,298531,530.30,530.30,271.00,8208.00
17,Maruti Suzuki,"5,933.15",-0.26,38062,5909.00,5933.15,1.00,6.00
18,Nestle,"16,690.30",-0.55,8018,16690.30,16690.30,2.00,1.00
19,NTPC,94.35,1.07,671116,95.20,95.45,1154.00,201.00
20,ONGC,82.40,0.61,2268719,82.40,82.40,48.00,640.00
21,Power Grid Corp,177.00,1.14,351343,176.00,177.70,1.00,245.00
22,Reliance,"1,787.50",1.53,857283,1786.00,1787.50,217.00,445.00
23,SBI,184.75,-0.38,1998082,184.75,184.75,342.00,955.00
24,Sun Pharma,476.90,0.79,240333,475.65,476.50,2.00,148.00
25,Tata Steel,329.95,-1.49,899229,328.50,329.95,10.00,861.00
26,TCS,"2,199.00",1.88,129718,2199.00,2200.00,23.00,11.00
27,Tech Mahindra,567.00,1.11,118165,563.30,567.00,100.00,1182.00
28,Titan Company,"1,003.00",1.69,106485,1003.25,1004.00,4.00,100.00
29,UltraTechCement,"3,903.00",-0.31,15001,3883.20,3886.20,25.00,1.00
